words@ssm1982m	@ssm1982m	2.844	3.081	боишься
words@ssm1982m	@ssm1982m	3.081	3.318	заразиться
words@ssm1982m	@ssm1982m	3.318	3.56	?
words@ssm1982m	@ssm1982m	10.011	10.324	Турция
words@ssm1982m	@ssm1982m	10.324	10.637	!
words@ssm1982m	@ssm1982m	10.637	10.95	нифига
words@ssm1982m	@ssm1982m	10.95	11.263	себе
words@ssm1982m	@ssm1982m	11.263	11.579	!
words@ssm1982m	@ssm1982m	11.968	12.263	блин
words@ssm1982m	@ssm1982m	12.263	12.558	!
words@ssm1982m	@ssm1982m	12.558	12.853	а
words@ssm1982m	@ssm1982m	12.853	13.148	разве
words@ssm1982m	@ssm1982m	13.148	13.443	/
words@ssm1982m	@ssm1982m	13.443	13.738	открыто
words@ssm1982m	@ssm1982m	13.738	14.033	всё
words@ssm1982m	@ssm1982m	14.033	14.328	щас
words@ssm1982m	@ssm1982m	14.328	14.623	?
words@ssm1982m	@ssm1982m	14.623	14.92	можно...
words@ssm1982m	@ssm1982m	22.562	23.159	а
words@ssm1982m	@ssm1982m	25.659	26.346	да
words@ssm1982m	@ssm1982m	29.838	29.987	и
words@ssm1982m	@ssm1982m	29.987	30.136	я
words@ssm1982m	@ssm1982m	30.136	30.285	/
words@ssm1982m	@ssm1982m	30.285	30.434	/
words@ssm1982m	@ssm1982m	30.434	30.583	думаешь
words@ssm1982m	@ssm1982m	30.583	30.732	закроемся
words@ssm1982m	@ssm1982m	30.732	30.886	?
words@ssm1982m	@ssm1982m	36.75	37.049	какая-то
words@ssm1982m	@ssm1982m	37.049	37.348	есть
words@ssm1982m	@ssm1982m	37.348	37.647	инфа
words@ssm1982m	@ssm1982m	37.647	37.946	я
words@ssm1982m	@ssm1982m	37.946	38.245	щас
words@ssm1982m	@ssm1982m	38.245	38.544	/
words@ssm1982m	@ssm1982m	38.544	38.843	/
words@ssm1982m	@ssm1982m	38.843	39.142	ребят
words@ssm1982m	@ssm1982m	39.142	39.441	это
